2018-02-18-03:13:53\FurCast - News
2018-02-18-03:07:46\GoldFish, Julia Church - Heart Shaped Box (Original Mix)
2018-02-18-02:37:05\Professor Kliq - Crystals
2018-02-18-01:07:28\XBN - FurCast Live!
2018-02-18-00:09:24\XBN - Pre-show - Show starts at 8PM ET
2018-02-18-00:09:15\XBN - Metadata System Test
2018-01-21-02:56:30\XBN - FurCast Live!
2018-01-21-02:51:05\Feed Me - Silicone Lube
2018-01-21-02:48:14\Slamtype - Hit Em Like (Original Mix)
2018-01-21-02:44:28\Snail's House - Pixel Galaxy
2018-01-21-02:40:15\The Correspondents - Inexplicable (Album Version)
2018-01-21-00:06:55\XBN - Pre-show - Show starts at 8PM ET
2018-01-21-00:04:30\XBN - Metadata System Test
2018-01-20-04:58:07\Nickel Creek - Smoothie Song
2018-01-20-04:43:40\Rockstar - Pause Menu Song
2018-01-20-04:33:21\NPR - 20150405_tinydesk_deathcabforc
2018-01-20-04:24:46\Charles Atlas - Genova
2018-01-20-04:22:19\M83 - Waves, Waves, Waves
2018-01-20-04:19:03\In Love With A Ghost - we've never met but, can we have a coffee or something
2018-01-20-04:14:21\Goldfrapp - Hairy Trees
2018-01-20-04:08:05\Kyson - How Long
2018-01-20-04:02:58\COLONEL RED - Stand Up
2018-01-20-03:59:48\Calum Graham  - Wild Woman
2018-01-20-03:55:48\Old Future Fox Gang - Guided Meditation
2018-01-20-03:51:53\Gramatik - War of the Currents
2018-01-20-03:48:35\Corporate - Ice (Original Mix)
2018-01-20-03:45:04\Pedestrian Tactics - Ghost
2018-01-20-03:41:58\Whethan - Aftertaste (feat. Opia)
2018-01-20-03:37:57\ATTLAS - Ryat
2018-01-20-03:34:50\Lorde - Royals
2018-01-20-03:30:14\Lorde - Supercut
2018-01-20-03:26:25\Snail's House - Pixel Galaxy
2018-01-20-03:17:06\©2001 https://t.co/ciraWvbvIN - Tour6bed -WindowsXP OS
2018-01-20-03:16:23\©2001 https://t.co/ciraWvbvIN - Tour Intro -WindowsXP OS
2018-01-20-03:13:05\Darren Styles, Dougal &amp; Gammer - Party Don't Stop
2018-01-20-03:09:28\Tokyo Machine - FIGHT
2018-01-20-03:04:07\Zedd - The Legend of Zelda (Electrixx remix)
2018-01-20-02:57:51\Bombs Away - Swagger (Rocket Pimp Remix)
2018-01-20-02:53:35\Feed Me - Silicone Lube
2018-01-20-02:48:52\Oliver - Control (Nom De Strip Remix)
2018-01-20-02:44:36\Dada Life - Freaks Have More Fun (Original Mix)
