"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"80175030381715456","","","2011-06-13 07:29:51 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Testing to see if we can fuck up this new chat bot: --()*&lt;&gt; WOO :3","","","",""
"80167103105204224","","","2011-06-13 06:58:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ooonnee mmoorreee test. Glad this is workin' so far.","","","",""
"80166390400684032","","","2011-06-13 06:55:31 +0000","<a href=""http://en.znc.in/"" rel=""nofollow"">ZNC</a>","Testting","","","",""
"80165400125513728","","","2011-06-13 06:51:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Testing this twitter account with a new chat bot everyone, please hold. :3","","","",""
"80165058524614656","","","2011-06-13 06:50:14 +0000","<a href=""http://en.znc.in/"" rel=""nofollow"">ZNC</a>","hi","","","",""
"80130802033229824","","","2011-06-13 04:34:06 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN:  - 10min Focus-Binaural brain wave entrainment","","","",""
"80130048862072832","","","2011-06-13 04:31:07 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Younger Brother - Bedtime Story","","","",""
"80128788423380992","","","2011-06-13 04:26:06 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: PARSONS, Hayley - A Man Named Thomas","","","",""
"80128343265120256","","","2011-06-13 04:24:20 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: DJ Sebastiano - 10.-Andrea-Giuliani---Firemario","","","",""
"80126561738686464","","","2011-06-13 04:17:15 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Fussy Boy - Gold [Mord Fustang Remix] *Dan Veytia Edit*","","","",""
"80124978770616320","","","2011-06-13 04:10:58 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Trentemoeller Ft. The Blacksmoke Organisation - Danger Global Warming (Trentemoeller Remix)","","","",""
"80123969507827712","","","2011-06-13 04:06:57 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: ACDC - Highway to Hell","","","",""
"80123062107901952","","","2011-06-13 04:03:21 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: ACDC - TNT","","","",""
"80122600205979649","","","2011-06-13 04:01:31 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Textural Being - I Felt...","","","",""
"80121546831695872","","","2011-06-13 03:57:20 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: bignic - logical giraffe","","","",""
"80120400054468608","","","2011-06-13 03:52:46 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: bignic - sound","","","",""
"80119393882865665","","","2011-06-13 03:48:46 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: bignic - funk","","","",""
"80118690946891776","","","2011-06-13 03:45:59 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: bignic - your body","","","",""
"80118254777012224","","","2011-06-13 03:44:15 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: V.A. - Emoticon Mix","","","",""
"80117290053541888","","","2011-06-13 03:40:25 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Aperture Science Psychoacoustics Laboratory - Technical Difficulties","","","",""
"80116200390131712","","","2011-06-13 03:36:05 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN:  - sodium_final","","","",""
"80114688788144130","","","2011-06-13 03:30:04 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Trentem??ller - Moan","","","",""
"80112821546926080","","","2011-06-13 03:22:39 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: trentemoller - moan (trentemoller remix)","","","",""
"80111677529522176","","","2011-06-13 03:18:06 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Trentem??ller - Physical Fraction","","","",""
"80110206784249856","","","2011-06-13 03:12:16 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Trentem??ller - Chameleon","","","",""
"80108898870235136","","","2011-06-13 03:07:04 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Trentem??ller - Rykketid","","","",""
"80107755620417537","","","2011-06-13 03:02:31 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Trentem??ller - Vamp","","","",""
"80106761947852801","","","2011-06-13 02:58:35 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Jackal Queenston - Laugh at Life (Mayhem's Jawsome Remix)","","","",""
"80103924694126593","","","2011-06-13 02:47:18 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: RPO, David Weed - The Darkest Symphony (Original Part 1 Mix)","","","",""
"80102838579113984","","","2011-06-13 02:42:59 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN:  - 08 - Brian Adams - Run To You","","","",""
"80101674584252416","","","2011-06-13 02:38:22 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: The Honeydrippers - rockin at Midnight","","","",""
"80101142834593792","","","2011-06-13 02:36:15 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: FKN Feat. Jahala - Why (Aly & Fila Remix)","","","",""
"80100577920557056","","","2011-06-13 02:34:00 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Fox Amoore - Rain","","","",""
"80099384112586752","","","2011-06-13 02:29:16 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Pogo - Alice","","","",""
"80097983982600194","","","2011-06-13 02:23:42 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Freeland - Big Wednesday","","","",""
"79769068512616448","","","2011-06-12 04:36:42 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Module - Remarkable Engines (intro)","","","",""
"79766648764104704","","","2011-06-12 04:27:05 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN:  - 10min Focus-Binaural brain wave entrainment","","","",""
"79765609981816832","","","2011-06-12 04:22:58 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Cafe Del Mar - Thomas Newman - Any Other Name (original)","","","",""
"79763738030379008","","","2011-06-12 04:15:31 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Crystal Method - Matrix - Theme (instrumental)","","","",""
"79761623757225984","","","2011-06-12 04:07:07 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Phillip Glass - Pruit Igoe","","","",""
"79759860295680001","","","2011-06-12 04:00:07 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Trentem??ller - Physical Fraction","","","",""
"79758395221094400","","","2011-06-12 03:54:17 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Trentemoller - The Forest","","","",""
"79757390345543680","","","2011-06-12 03:50:18 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Younger Brother - Psychic Gibbon - Original Mix","","","",""
